user_id,year,month,txn_count,spend
usr_00000,2023,1,10,1294.97
usr_00000,2023,2,7,1061.18
usr_00000,2023,3,3,1464.65
usr_00000,2023,4,2,1153.65
usr_00000,2023,5,11,235.76
usr_00000,2023,6,12,703.06
usr_00000,2023,7,8,1393.81
usr_00000,2023,8,6,983.6
usr_00000,2023,9,6,692.95
usr_00000,2023,10,12,379.5
usr_00000,2023,11,2,142.54
usr_00000,2023,12,7,1103.0
usr_00000,2024,1,2,845.02
usr_00000,2024,2,5,331.8
usr_00000,2024,4,4,97.71
usr_00000,2024,5,0,16.69
usr_00001,2023,1,3,191.53
usr_00001,2023,2,3,240.08
usr_00001,2023,3,6,73.66
usr_00001,2023,4,2,243.1
usr_00001,2023,5,3,338.21
usr_00001,2023,6,2,224.2
usr_00001,2023,7,2,353.13
usr_00001,2023,8,6,163.06
usr_00001,2023,9,6,404.33
usr_00001,2024,1,0,0.0
usr_00001,2024,2,0,0.0
usr_00001,2024,3,0,0.0
usr_00002,2023,1,12,715.43
usr_00002,2023,2,8,252.71
usr_00002,2023,3,8,216.07
usr_00002,2023,4,7,733.09
usr_00002,2023,5,10,869.59
usr_00002,2023,6,2,970.34
usr_00002,2023,7,11,852.69
usr_00002,2023,8,2,490.73
usr_00002,2023,9,8,94.69
usr_00002,2023,10,5,361.15
usr_00002,2023,11,7,642.37
usr_00002,2023,12,12,343.42
usr_00002,2024,1,8,98.93
usr_00002,2024,2,7,279.83
usr_00002,2024,3,1,445.49
usr_00002,2024,5,1,94.01
usr_00002,2024,6,0,0.0
usr_00003,2023,1,17,1500.25
usr_00003,2023,2,15,490.29
usr_00003,2023,3,11,1101.88
usr_00003,2023,4,19,1453.38
usr_00003,2023,5,7,1003.08
usr_00003,2023,6,7,742.72
usr_00003,2023,7,10,1334.51
usr_00003,2023,8,14,357.77
usr_00003,2023,9,10,412.41
usr_00003,2023,10,10,1835.45
usr_00003,2023,11,19,1459.47
usr_00003,2023,12,11,1944.52
usr_00003,2024,1,8,1601.75
usr_00003,2024,2,8,1008.85
usr_00003,2024,3,15,690.03
usr_00003,2024,4,6,1824.68
usr_00003,2024,5,6,1020.4
usr_00003,2024,6,15,750.72
usr_00004,2023,1,8,518.19
usr_00004,2023,2,11,1565.34
usr_00004,2023,3,17,1495.03
usr_00004,2023,4,14,1329.16
usr_00004,2023,5,11,1251.38
usr_00004,2023,6,6,352.0
usr_00004,2023,7,14,948.45
usr_00004,2023,8,16,1089.18
usr_00004,2023,9,5,793.75
usr_00004,2023,10,14,386.13
usr_00004,2023,11,7,1257.76
usr_00004,2023,12,16,1865.22
usr_00004,2024,1,7,1245.91
usr_00004,2024,2,11,1263.65
usr_00004,2024,3,10,241.05
usr_00004,2024,4,7,1068.15
usr_00004,2024,5,19,1608.92
usr_00004,2024,6,5,1075.98
usr_00005,2023,1,6,1888.09
usr_00005,2023,2,7,1052.28
usr_00005,2023,3,13,680.56
usr_00005,2023,4,19,1137.21
usr_00005,2023,5,9,990.04
usr_00005,2023,6,9,1687.33
usr_00005,2023,7,5,1813.09
usr_00005,2023,8,13,1197.27
usr_00005,2023,9,7,395.44
usr_00005,2023,10,14,706.22
usr_00005,2023,11,15,1386.96
usr_00005,2023,12,15,1583.57
usr_00005,2024,1,15,393.93
usr_00005,2024,2,14,614.39
usr_00005,2024,3,18,267.34
usr_00005,2024,4,7,867.66
usr_00005,2024,5,13,1693.62
usr_00005,2024,6,11,770.85
usr_00006,2023,1,6,152.55
usr_00006,2023,2,5,135.42
usr_00006,2023,3,4,468.66
usr_00006,2023,4,2,32.01
usr_00006,2023,5,2,223.2
usr_00006,2023,6,7,446.92
usr_00006,2023,7,7,376.82
usr_00006,2023,8,6,447.79
usr_00006,2023,9,7,264.24
usr_00006,2024,2,0,0.0
usr_00007,2023,1,6,475.91
usr_00007,2023,2,17,522.68
usr_00007,2023,3,10,1774.21
usr_00007,2023,4,13,553.58
usr_00007,2023,5,9,1599.33
usr_00007,2023,6,9,1949.29
